IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,numeric,EUR,Europe,Country,ARM,Armenia,Year,2023,true,,,,,,,,,,,,,100,,,100,,100,<100 [<100 - <100],,,EN,2024-07-21T23:00:00.000Z
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2023,true,,,,,,,,,,,,,100,,,100,,100,<100 [<100 - <100],,,EN,2024-07-21T23:00:00.000Z
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,numeric,AMR,Americas,Country,BLZ,Belize,Year,2023,true,,,,,,,,,,,,,100,,,100,,100,<100 [<100 - <100],,,EN,2024-07-21T23:00:00.000Z
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2023,true,,,,,,,,,,,,,100,,,100,,100,<100 [<100 - <100],,,EN,2024-07-21T23:00:00.000Z
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,numeric,EUR,Europe,Country,GEO,Georgia,Year,2023,true,,,,,,,,,,,,,100,,,100,,100,<100 [<100 - <100],,,EN,2024-07-21T23:00:00.000Z
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2023,true,,,,,,,,,,,,,100,,,100,,100,<100 [<100 - <100],,,EN,2024-07-21T23:00:00.000Z
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,numeric,AMR,Americas,Country,CRI,Costa Rica,Year,2023,true,,,,,,,,,,,,,100,,,100,,200,<100 [<100 - <200],,,EN,2024-07-21T23:00:00.000Z
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,numeric,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2023,true,,,,,,,,,,,,,100,,,100,,200,<100 [<100 - <200],,,EN,2024-07-21T23:00:00.000Z
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,numeric,WPR,Western Pacific,Country,FJI,Fiji,Year,2023,true,,,,,,,,,,,,,100,,,100,,200,<100 [<100 - <200],,,EN,2024-07-21T23:00:00.000Z
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,numeric,AMR,Americas,Country,NIC,Nicaragua,Year,2023,true,,,,,,,,,,,,,200,,,100,,200,<200 [<100 - <200],,,EN,2024-07-21T23:00:00.000Z
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2023,true,,,,,,,,,,,,,200,,,100,,200,<200 [<100 - <200],,,EN,2024-07-21T23:00:00.000Z
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,numeric,AMR,Americas,Country,URY,Uruguay,Year,2023,true,,,,,,,,,,,,,200,,,100,,200,<200 [<100 - <200],,,EN,2024-07-21T23:00:00.000Z
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2023,true,,,,,,,,,,,,,200,,,100,,540,<200 [<100 - 540],,,EN,2024-07-21T23:00:00.000Z
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2023,true,,,,,,,,,,,,,200,,,200,,200,<200 [<200 - <200],,,EN,2024-07-21T23:00:00.000Z
