"country","TBI.P_best","TBI.P_lo","TBI.P_hi","TBI.PH0_best","TBI.PH0_lo","TBI.PH0_hi","TBI.PH1_best","TBI.PH1_lo","TBI.PH1_hi","TBI.PP_best","TBI.PP_lo","TBI.PP_hi","TBI.PPH0_best","TBI.PPH0_lo","TBI.PPH0_hi","TBI.PPH1_best","TBI.PPH1_lo","TBI.PPH1_hi"
"Afghanistan","1,922","464","3,379","1,921","464","3,378","0","0","1","626","151","1,101","626","151","1,101","0","0","0"
"Albania","2","1","2","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Algeria","289","94","484","289","94","484","3","2","4","94","30","158","94","30","157","1","0","1"
"Angola","3,779","891","6,666","3,713","876","6,550","279","222","335","1,231","290","2,172","1,210","285","2,134","90","72","109"
"Antigua & Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Argentina","189","124","255","189","124","254","4","3","6","61","40","83","61","40","83","1","1","2"
"Armenia","3","1","5","3","1","5","0","0","0","1","0","1","1","0","1","0","0","0"
"Aruba","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Australia","20","12","29","20","12","28","3","1","4","6","4","9","6","4","9","1","0","1"
"Austria","2","1","4","2","1","4","0","0","0","0","0","1","0","0","1","0","0","0"
"Azerbaijan","78","24","133","78","23","133","1","0","1","25","7","43","25","7","43","0","0","0"
"Bahamas","0","0","0","0","0","0","3","2","4","0","0","0","0","0","0","1","0","1"
"Bahrain","2","1","4","2","1","3","62","22","103","0","0","1","0","0","1","20","7","33"
"Bangladesh","3,986","1,264","6,708","3,985","1,263","6,707","7","5","10","1,299","411","2,186","1,298","411","2,185","2","1","3"
"Barbados","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","11","5","18","11","5","18","1","1","1","3","1","5","3","1","5","0","0","0"
"Belgium","10","6","14","10","5","14","0","0","1","3","1","4","3","1","4","0","0","0"
"Belize","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Benin","179","36","321","176","36","317","33","28","38","58","12","104","57","11","103","10","9","12"
"Bhutan","26","11","40","21","9","33","9","0","18","8","3","13","6","3","10","3","0","6"
"Bolivia","182","46","317","181","46","316","11","10","13","59","15","103","59","15","103","3","3","4"
