"country","TBI.P_best","TBI.P_lo","TBI.P_hi","TBI.PH0_best","TBI.PH0_lo","TBI.PH0_hi","TBI.PH1_best","TBI.PH1_lo","TBI.PH1_hi","TBI.PP_best","TBI.PP_lo","TBI.PP_hi","TBI.PPH0_best","TBI.PPH0_lo","TBI.PPH0_hi","TBI.PPH1_best","TBI.PPH1_lo","TBI.PPH1_hi"
"Angola","3,604","805","6,403","3,541","791","6,292","280","225","336","1,175","262","2,087","1,154","258","2,050","91","73","109"
"Bangladesh","4,132","1,408","6,856","4,132","1,408","6,856","6","4","8","1,347","459","2,234","1,347","459","2,234","2","1","3"
"Brazil","713","482","945","713","481","945","14","12","16","233","157","308","232","157","308","5","4","5"
"Cambodia","364","72","657","364","72","656","1","1","2","119","24","214","119","23","214","0","0","1"
"Central African Republic","974","283","1,665","887","258","1,516","745","629","860","317","92","543","289","84","494","243","205","280"
"China","2,258","1,430","3,086","2,257","1,430","3,085","12","4","21","736","466","1,006","736","466","1,005","4","1","7"
"Ethiopia","5,265","1,635","8,896","5,248","1,630","8,866","142","121","162","1,716","533","2,899","1,710","531","2,889","46","40","53"
"India","37,364","22,214","52,515","37,332","22,195","52,470","222","194","250","12,177","7,239","17,114","12,166","7,233","17,100","72","63","81"
"Indonesia","10,562","7,816","13,309","10,542","7,800","13,283","277","158","395","3,442","2,547","4,337","3,435","2,542","4,329","90","52","129"
"Kenya","1,963","355","3,571","1,893","342","3,444","439","275","604","640","116","1,164","617","112","1,122","143","89","197"
"Lesotho","139","28","250","122","24","219","73","40","105","45","9","81","40","8","71","24","13","34"
"Liberia","330","99","561","326","98","555","37","32","43","108","32","183","106","32","181","12","10","14"
"Mozambique","3,456","680","6,232","3,101","610","5,592","623","336","910","1,126","222","2,031","1,010","199","1,822","203","109","297"
"Namibia","215","46","384","155","33","278","152","79","226","70","15","125","51","11","90","50","26","74"
"Nigeria","12,354","3,538","21,170","12,200","3,494","20,906","421","308","534","4,026","1,153","6,899","3,976","1,139","6,813","137","100","174"
"Pakistan","12,025","3,724","20,327","12,020","3,722","20,317","31","-4","67","3,919","1,213","6,624","3,917","1,213","6,621","10","-1","22"
"Papua New Guinea","940","505","1,376","931","500","1,362","42","37","48","306","164","449","303","163","444","14","12","16"
"Philippines","4,694","56","9,331","4,692","56","9,327","53","47","59","1,530","18","3,041","1,529","18","3,040","17","15","19"
"Sierra Leone","522","131","913","510","128","891","110","94","126","170","43","298","166","42","290","36","31","41"
"South Africa","3,498","867","6,128","2,697","666","4,729","3,535","2,910","4,160","1,140","283","1,997","879","217","1,541","1,152","948","1,356"
"Thailand","358","121","595","356","120","592","22","15","30","117","39","194","116","39","193","7","5","10"
"Zambia","1,065","274","1,856","992","255","1,728","221","165","276","347","89","605","323","83","563","72","54","90"
"Zimbabwe","663","217","1,110","598","195","1,000","666","457","874","216","71","362","195","64","326","217","149","285"
"Total","107,461","86,165","128,756","105,608","84,489","126,726","8,124","7,350","8,898","35,021","28,081","41,961","34,417","27,534","41,299","2,648","2,395","2,900"
