"g_whoregion","age_group","TBI.P_best","TBI.P_lo","TBI.P_hi","TBI.PH0_best","TBI.PH0_lo","TBI.PH0_hi","TBI.PH1_best","TBI.PH1_lo","TBI.PH1_hi","TBI.PP_best","TBI.PP_lo","TBI.PP_hi","TBI.PPH0_best","TBI.PPH0_lo","TBI.PPH0_hi","TBI.PPH1_best","TBI.PPH1_lo","TBI.PPH1_hi"
"AFR","15-24","17,361","10,905","23,818","15,547","9,290","21,804","1,814","1,090","2,538","5,658","3,554","7,762","5,067","3,028","7,106","591","355","827"
"AFR","25-34","29,895","18,843","40,947","26,430","15,880","36,980","3,465","1,951","4,978","9,743","6,141","13,344","8,613","5,175","12,052","1,129","636","1,622"
"AFR","35-44","13,869","8,358","19,380","12,284","7,003","17,565","1,585","887","2,284","4,520","2,724","6,316","4,003","2,282","5,724","517","289","744"
"AFR","45-54","985","534","1,436","900","464","1,336","84","50","119","321","174","468","293","151","435","28","16","39"
"AMR","15-24","1,061","718","1,404","793","526","1,059","268","164","373","346","234","457","258","171","345","87","53","122"
"AMR","25-34","1,497","992","2,003","1,131","731","1,531","366","227","506","488","323","653","369","238","499","119","74","165"
"AMR","35-44","511","335","688","390","247","533","121","76","166","167","109","224","127","81","174","40","25","54"
"AMR","45-54","10","6","14","8","4","11","2","1","3","3","2","5","3","1","4","1","0","1"
"EUR","15-24","92","43","141","78","32","124","14","5","23","30","14","46","26","11","41","5","2","8"
"EUR","25-34","434","222","646","368","165","570","66","28","105","141","72","211","120","54","186","22","9","34"
"EUR","35-44","188","75","300","159","53","265","29","9","49","61","25","98","52","17","86","9","3","16"
"EUR","45-54","3","1","4","2","1","4","0","0","1","1","0","1","1","0","1","0","0","0"
"SEA","15-24","29,592","18,641","40,542","29,277","15,294","43,261","315","191","438","9,644","6,075","13,212","9,541","4,984","14,098","103","62","143"
"SEA","25-34","42,967","28,293","57,642","42,402","22,747","62,057","565","368","763","14,003","9,220","18,785","13,819","7,413","20,224","184","120","249"
"SEA","35-44","8,896","5,831","11,960","8,761","3,909","13,613","134","79","190","2,899","1,900","3,898","2,855","1,274","4,436","44","26","62"
"SEA","45-54","476","269","683","470","93","847","6","3","8","155","88","222","153","30","276","2","1","3"
"WPR","15-24","345","98","592","329","82","576","16","5","27","112","32","193","107","27","188","5","2","9"
"WPR","25-34","494","154","834","467","126","809","27","11","43","161","50","272","152","41","264","9","4","14"
"WPR","35-44","162","46","277","153","37","269","8","3","14","53","15","90","50","12","88","3","1","4"
"WPR","45-54","10","3","17","9","2","17","0","0","1","3","1","6","3","1","5","0","0","0"
