"g_whoregion","age_group","TBI.P_best","TBI.P_lo","TBI.P_hi","TBI.PH0_best","TBI.PH0_lo","TBI.PH0_hi","TBI.PH1_best","TBI.PH1_lo","TBI.PH1_hi","TBI.PP_best","TBI.PP_lo","TBI.PP_hi","TBI.PPH0_best","TBI.PPH0_lo","TBI.PPH0_hi","TBI.PPH1_best","TBI.PPH1_lo","TBI.PPH1_hi"
"AFR","15-24","23,668","16,216","31,120","21,550","14,565","28,536","1,522","1,045","2,000","11,153","8,250","14,057","11,280","8,300","14,259","603","390","817"
"AFR","25-34","41,867","28,849","54,884","37,796","25,659","49,933","2,772","1,883","3,660","19,526","14,454","24,597","17,040","12,411","21,670","1,150","729","1,571"
"AFR","35-44","19,529","13,029","26,028","17,323","11,254","23,392","1,502","1,083","1,921","8,266","5,921","10,611","8,573","6,102","11,044","397","282","512"
"AFR","45-54","1,313","822","1,805","1,246","781","1,711","49","33","64","606","411","801","574","388","759","26","18","33"
"AMR","15-24","1,621","1,235","2,008","1,625","1,234","2,016","9","6","12","745","595","896","765","612","918","2","1","3"
"AMR","25-34","2,161","1,620","2,701","2,120","1,594","2,646","13","8","18","1,025","816","1,233","1,042","828","1,255","2","1","3"
"AMR","35-44","692","520","863","664","496","832","5","2","7","289","226","352","305","239","372","2","1","3"
"AMR","45-54","22","16","28","21","15","27","0","0","0","9","7","11","10","7","12","0","0","0"
"EUR","15-24","139","75","202","151","82","219","0","0","0","64","40","89","69","43","95","0","0","0"
"EUR","25-34","814","437","1,191","758","403","1,114","2","1","2","339","204","475","346","207","485","0","0","0"
"EUR","35-44","268","139","397","283","149","416","0","0","0","141","85","197","132","78","186","0","0","0"
"EUR","45-54","2","1","3","2","1","3","0","0","0","1","0","1","1","0","1","0","0","0"
"SEA","15-24","47,036","33,406","60,667","42,980","30,010","55,950","77","63","91","21,955","16,685","27,226","21,194","15,947","26,441","32","27","37"
"SEA","25-34","66,744","48,361","85,127","59,070","41,867","76,272","192","166","219","26,922","20,330","33,515","26,516","19,841","33,191","33","26","39"
"SEA","35-44","11,136","7,950","14,323","10,327","7,329","13,326","32","27","38","4,878","3,699","6,056","4,865","3,715","6,014","7","5","8"
"SEA","45-54","786","528","1,044","737","486","987","1","1","2","363","263","462","330","235","425","0","0","0"
"WPR","15-24","462","181","743","484","197","772","15","10","20","203","97","310","203","97","309","2","1","3"
"WPR","25-34","716","284","1,147","674","256","1,092","23","16","31","300","142","459","329","163","496","10","7","12"
"WPR","35-44","219","86","351","207","78","336","10","7","13","92","43","141","80","34","125","2","1","2"
"WPR","45-54","30","11","49","27","9","45","0","0","0","12","5","19","13","6","21","0","0","0"
