FA,Full_study,year,country, Sample ,pregYTBY,pregNTBY,pregYTBN,pregNTBN,or,selog,orlo,orhi,ap,bp,cp,dp,IRRm,selogIRR,IRRlo,IRRhi,pIRRm,selogpIRR,pIRRlo,pIRRhi,HIV,IRR,m,mlo,mhi
Crampin,Yes,2004,Malawi,628,20,172,42,394,1.090808416,0.286638358,0.621952165,1.913110152,11,172,33,394,,,,,,,,,yes,no,1.090808416,0.621952165,1.913110152
Espinal,Yes,1996,Dominican Republic,128,7,455,6,80,0.205128205,0.569404612,0.067195221,0.626199001,51,411,9,77,,,,,,,,,no,no,0.205128205,0.067195221,0.626199001
Keskin,Yes,2008,Turkey, -   ,,,,,,,,,,,,,,,,,,,,,no,,,,
Odayar,Yes,2018,South Africa,"3,026",13,56,1500,1457,0.225488095,0.310053589,0.122800653,0.414044063,10,56,1503,1457,0.17,,0.09,0.31,0.22,,0.1,0.46,yes,yes,0.17,0.09,0.31
Rendell,Yes,2016,Mongolia,"2,113,696",107,3576,46791,2048985,1.004606327,0.098195267,0.828724943,1.217815248,,,,,1.31,,1.08,1.59,,,,,no,yes,1.31,1.08,1.59
Zenner,Yes,2012,UK,"1,745,834",22,133,171610,1459203,1.405297012,0.230173523,0.89503592,2.206458588,22,133,114844,1459070,1.29,,0.82,2.03,1.95,,1.24,3.07,no,yes,1.29,0.82,2.03
Fisher,Yes,1994,, -   ,,,,,,,,,,,,,,,,,,,,,no,,,,
Bothamley,No,2016,Belarus,"5,500",15,5485,,,,,,,6,13,5494,,0.280485239,0.258551701,0.16897652,0.465579299,0.336030915,0.408471154,0.150897335,0.748301989,no,yes,0.280485239,0.16897652,0.465579299
Bothamley,No,2016,Belgium,143,11,132,,,,,,,5,12,138,,9.259259259,0.313822957,5.005468705,17.12804276,12.07729469,0.455243206,4.948331917,29.47681145,no,yes,9.259259259,5.005468705,17.12804276
Bothamley,No,2016,Italy ,"1,860",1,1859,,,,,,,2,9,1858,,0.079692387,1.000268926,0.011219429,0.566060611,0.478411673,0.707487253,0.1195574,1.91437527,no,yes,0.079692387,0.011219429,0.566060611
Bothamley,No,2016,Italy ,217,1,216,,,,,,,0.5,9,216.5,,0.685871056,1.002312142,0.096173884,4.891339363,1.026430588,1.415845662,0.06399373,16.4634839,no,yes,0.685871056,0.096173884,4.891339363
Bothamley,No,2016,Italy ,103,0.5,102.5,,,,,,,1,9,102,,0.719165768,1.417641964,0.044679449,11.5757785,4.357298475,1.004890005,0.607907735,31.23179538,no,yes,0.719165768,0.044679449,11.5757785
Bothamley,No,2016,Serbia,"1,353",2,1351,,,,,,,1,11,1352,,0.179440594,0.707629983,0.044830532,0.718236546,0.268961807,1.000369754,0.037858089,1.910832152,no,yes,0.179440594,0.044830532,0.718236546
Bothamley,No,2016,Slovakia,"1,197",4,1193,,,,,,,21,10,1176,,0.447052249,0.500837522,0.167508473,1.193108087,7.142857143,0.220157643,4.639487354,10.99699261,no,yes,0.447052249,0.167508473,1.193108087
Bothamley,No,2016,Spain,"1,946",2,1944,,,,,,,5,10,1941,,0.137174211,0.707470426,0.034281632,0.548887645,1.030396703,0.447789234,0.428389255,2.478394014,no,yes,0.137174211,0.034281632,0.548887645
Bothamley,No,2016,Spain,374,0.5,373.5,,,,,,,2,10,372,,0.178253119,1.415158577,0.011128326,2.855251957,2.150537634,0.709005058,0.535833372,8.631063986,no,yes,0.178253119,0.011128326,2.855251957
Bothamley,No,2016,Ukraine,500,3,497,,,,,,,35,11,465,,0.731662703,0.579090153,0.235168651,2.276367662,27.37047898,0.175276827,19.41260198,38.59055683,no,yes,0.731662703,0.235168651,2.276367662
Bothamley,No,2016,UK,"1,774",29,1745,,,,,,,20,18,1754,,1.231030457,0.187232007,0.852891323,1.776821907,2.533890789,0.224878023,1.630676659,3.937385439,no,yes,1.231030457,0.852891323,1.776821907
Bothamley,No,2016,USA,250,0.5,249.5,,,,,,,5,13,245,,0.205128205,1.41562707,0.012794381,3.288754599,6.279434851,0.451753951,2.590477547,15.22163436,no,yes,0.205128205,0.012794381,3.288754599
Nordholm,Yes,2022,Denmark,"2,708",286,2316,6514,,,,,,,,,,,,,,,,,,,,,,
Jonsson,Yes,2022,Sweden,"5,072,020",85,389,689203,4382343,,,,,79,389,456023,4382343,1.4,,1.1,1.7,1.9,,1.5,2.5,no,yes,1.4,1.1,1.7
