FA,Full_study,year,country,Sample,a,b,c,d,or,selog,orlo,orhi,ap,bp,cp,dp,IRRm,selogIRR,IRRlo,IRRhi,pIRRm,selogpIRR,pIRRlo,pIRRhi,HIV,IRR,m,mlo,mhi
Crampin,Yes,2004,Malawi,,20,172,42,394,1.090808416,0.286638358,0.621952165,1.913110152,11,,33,,,,,,,,,,yes,no,1.090808416,0.621952165,1.913110152
Espinal,Yes,1996,Santo Domingo,,7,455,6,80,0.205128205,0.569404612,0.067195221,0.626199001,,,,,,,,,,,,,no,no,0.205128205,0.067195221,0.626199001
Keskin,Yes,2008,Turkey,,,,,,,,,,,,,,,,,,,,,,no,,,,
Odayar,Yes,2018,South Africa,,,,,,,,,,,,,,0.17,,0.09,0.31,0.22,,0.1,0.46,yes,yes,0.17,0.09,0.31
Rendell,Yes,2016,Mongolia,,107,3576,61135,2052561,1.004598265,0.098195116,0.828718537,1.217805116,,,,,1.31,,1.08,1.59,,,,,no,yes,1.31,1.08,1.59
Zenner,Yes,2012,UK,,,,,,,,,,,,,,1.29,,0.82,2.03,1.95,,1.24,3.07,no,yes,1.29,0.82,2.03
Fisher,Yes,1994,,,,,,,,,,,,,,,,,,,,,,,no,,,,
Bothamley,No,2016,Belarus,5500,15,13,5485,1000,,,,,6,13,5494,1000,0.280485239,0.258551701,0.16897652,0.465579299,0.336030915,0.408471154,0.150897335,0.748301989,no,yes,0.280485239,0.16897652,0.465579299
Bothamley,No,2016,Belgium,143,11,12,132,1000,,,,,5,12,138,1000,9.259259259,0.313822957,5.005468705,17.12804276,12.07729469,0.455243206,4.948331917,29.47681145,no,yes,9.259259259,5.005468705,17.12804276
Bothamley,No,2016,Italy ,1860,1,9,1859,1000,,,,,2,9,1858,1000,0.079692387,1.000268926,0.011219429,0.566060611,0.478411673,0.707487253,0.1195574,1.91437527,no,yes,0.079692387,0.011219429,0.566060611
Bothamley,No,2016,Italy ,217,1,9,216,1000,,,,,0.5,9,216.5,1000,0.685871056,1.002312142,0.096173884,4.891339363,1.026430588,1.415845662,0.06399373,16.4634839,no,yes,0.685871056,0.096173884,4.891339363
Bothamley,No,2016,Italy ,103,0.5,9,103,1000,,,,,1,9,102,1000,0.719165768,1.417641964,0.044679449,11.5757785,4.357298475,1.004890005,0.607907735,31.23179538,no,yes,0.719165768,0.044679449,11.5757785
Bothamley,No,2016,Serbia,1353,2,11,1351,1000,,,,,1,11,1352,1000,0.179440594,0.707629983,0.044830532,0.718236546,0.268961807,1.000369754,0.037858089,1.910832152,no,yes,0.179440594,0.044830532,0.718236546
Bothamley,No,2016,Slovakia,1197,4,10,1193,1000,,,,,21,10,1176,1000,0.447052249,0.500837522,0.167508473,1.193108087,7.142857143,0.220157643,4.639487354,10.99699261,no,yes,0.447052249,0.167508473,1.193108087
Bothamley,No,2016,Spain,1946,2,10,1944,1000,,,,,5,10,1941,1000,0.137174211,0.707470426,0.034281632,0.548887645,1.030396703,0.447789234,0.428389255,2.478394014,no,yes,0.137174211,0.034281632,0.548887645
Bothamley,No,2016,Spain,374,0.5,10,374,1000,,,,,2,10,372,1000,0.178253119,1.415158577,0.011128326,2.855251957,2.150537634,0.709005058,0.535833372,8.631063986,no,yes,0.178253119,0.011128326,2.855251957
Bothamley,No,2016,Ukraine,500,3,11,497,1000,,,,,35,11,465,1000,0.731662703,0.579090153,0.235168651,2.276367662,27.37047898,0.175276827,19.41260198,38.59055683,no,yes,0.731662703,0.235168651,2.276367662
Bothamley,No,2016,UK,1774,29,18,1745,1000,,,,,20,18,1754,1000,1.231030457,0.187232007,0.852891323,1.776821907,2.533890789,0.224878023,1.630676659,3.937385439,no,yes,1.231030457,0.852891323,1.776821907
Bothamley,No,2016,USA,250,0.5,13,250,1000,,,,,5,13,245,1000,0.205128205,1.41562707,0.012794381,3.288754599,6.279434851,0.451753951,2.590477547,15.22163436,no,yes,0.205128205,0.012794381,3.288754599
