"","country","pop_f","TBI_best","TBI_lo","TBI_hi","births_best","births_lo","births_hi","pregTBI_best","pregTBI_lo","pregTBI_hi","ppTBI_best","ppTBI_lo","ppTBI_hi"
"1","Angola",7209481,27500,0,65000,1247958.6,1192138.4,1303778.4,3306.59078485652,0,8238.79943030678,1077.59431827913,0,2684.96588576962
"2","Bangladesh",49995484,83000,0,169000,3057196.6,2687488.6,3426906.2,3347.82005329484,0,7681.86724383179,1091.03064236841,0,2503.46566428447
"3","Brazil",63738445,18200,8700,27400,2895741.8,2471096.4,3320387.4,642.040377509147,262.795419167735,1105.97626254057,209.236373027534,85.643149996628,360.429764131525
"4","Cambodia",4740813,10200,0,22900,366238.4,322043,392859.2,432.589624565474,0,1161.93513644802,140.977868719998,0,378.66636143172
"5","Central African Republic",1154923,4770,0,11400,165835.2,157114.6,174556,499.725231769098,0,1245.91791248379,162.856883567608,0,406.035748264807
"6","China",409146005,150000,71000,227000,16346003.8,13846316.4,18845706.8,4990.91136497048,2006.41622350241,8691.00116673299,1626.50236447699,653.876715694981,2832.33520165852
"7","Congo",1318984,4870,0,12000,180049.2,170181.8,189917.2,446.154128062743,0,1160.42595155219,145.398443520448,0,378.174528854062
"8","Democratic People's Republic of Korea",7534143,35100,19800,52500,352355.2,305831,398879.4,1244.70070322522,596.604467465685,2062.53934418241,405.639068461792,194.429134486585,672.16683984516
"9","Democratic Republic of the Congo",19158835,65000,0,156000,3431553.8,3287697.4,3575410.4,8347.86704838736,0,20755.9875052781,2720.51024344767,0,6764.22807091654
"10","Ethiopia",27328599,57900,0,121000,3295321.8,3090643.4,3500000.6,5184.62079968752,0,11448.0382865756,1689.63088561245,0,3730.83390589293
"11","India",377545206,679000,0,1504000,25224048.4,22485751.4,27962335.8,35243.4737334121,0,86664.6501196253,11485.5963506209,0,28243.3904407707
"12","Indonesia",77821550,252000,172000,334000,4882396.8,4356162.4,5408629.8,11659.3984921307,7112.86646252365,17164.743431539,3799.7146871676,2318.03237394744,5593.86727902833
"13","Kenya",13322696,36900,0,87000,1547223.4,1444723.4,1649724.4,3179.92264215809,0,7971.42579654449,1036.31407534616,0,2597.83072833816
"14","Lesotho",630607,3400,0,8200,61429.8,56333.2,66525.6,218.072778589066,0,567.669929765716,71.0683608794723,0,184.999575325434
"15","Liberia",1193210,3630,0,8800,162145.2,153098.2,171192.4,336.742588736667,0,862.932022252886,109.742004365074,0,281.223382252057
"16","Mozambique",7409324,38900,0,93000,1156673.8,1100447.6,1212901.2,4218.93345833935,0,10561.6222358461,1374.9202788338,0,3441.95724650342
"17","Myanmar",16087046,37800,0,79000,942393,834464.2,1050322.2,1578.09724048149,0,3673.66495878438,514.29061854977,0,1197.22116960384
"18","Namibia",718805,3060,406,5660,72685.6,67197.6,78173.8,233.089696721288,28.2296230541936,461.003027596416,75.9622672350625,9.19983251319703,150.237593814903
"19","Nigeria",46413468,99000,0,230000,7381153,7040492.8,7721813.6,11289.7368685896,0,27492.4209709331,3679.24460449573,0,8959.5836199916
"20","Pakistan",53323888,145000,0,315000,5445105.8,5041969.2,5848244.4,10095.4367990683,0,23466.8018798533,3290.03074255351,0,7647.66311263075
"21","Papua New Guinea",2216646,7000,2030,11900,226477.8,210698.6,242256.8,494.231638280046,133.055966194805,897.383028753375,161.066560689479,43.3619889831285,292.450719191948
"22","Philippines",29499472,102000,0,274000,2419398,2209548.2,2629247.2,5624.88737882774,0,16394.9907606257,1833.11061899297,0,5343.01038181104
"23","Russian Federation",39271811,19400,0,41800,1780601.6,1526389.2,2034811.8,771.318433023543,0,1905.64638318039,251.367167904994,0,621.03654451861
"24","Sierra Leone",1976933,6820,0,15800,261515.6,246378,276653.2,672.906178696147,0,1655.78261202064,219.295317164369,0,539.607726238868
"25","South Africa",16725456,91000,0,190000,1166728.4,1045894,1287562.4,4732.91465721761,0,10953.921747133,1542.42308025395,0,3569.80485509246
"26","Thailand",20582148,19700,2330,36600,688644.6,570548.4,806741.6,496.692391643351,48.7230001752076,1087.78371825029,161.868502633771,15.8784777356703,354.500943894068
"27","United Republic of Tanzania",14113480,33800,0,100000,2189396.8,2078230.8,2300563.2,3467.91146165592,0,10910.6379387865,1130.16757455751,0,3555.69897112238
"28","Viet Nam",28854079,19000,6700,31400,1558576.6,1358348.6,1758805,820.470513864018,252.040319614738,1551.89672301408,267.385479964613,82.1381398744459,505.752057053697
"29","Zambia",4300165,16600,0,37500,655724.6,622272.6,689176.2,1785.4611876755,0,4218.5353311238,581.869047769248,0,1374.79053201802
"30","Zimbabwe",4506697,10400,336,20400,531101.2,494478.6,567723.8,799.290161531856,24.1281891846744,1684.54916277285,260.482954427792,7.86320451107693,548.982539653651
"31","Total",1347838399,2080950,283302,4288260,89691674.4,80473978,98891806,126162.008416971,10464.8596708831,293700.550018334,41115.2973858878,3410.42301774315,95714.9113899033
