"country","pregTBI_best","pregTBI_lo","pregTBI_hi","ppTBI_best","ppTBI_lo","ppTBI_hi","births_best"
"Angola",3779.06406074705,0,8611.29566855891,1231.56998408274,0,2806.35974912857,1388038
"Bangladesh",3986.06927474165,0,8118.9792059518,1299.03150471491,0,2645.91733051108,2822181.4
"Brazil",772.323931864632,372.560481813518,1172.08738191575,251.69485279517,121.414799876727,381.974905713614,2763320.4
"Cambodia",303.360494212669,0,660.027893767835,98.8630182032359,0,215.098376093982,352156
"Central African Republic",737.372785312922,0,1626.66824960634,240.304523785015,0,530.11956348778,175352.6
"China",4221.42833950526,2021.80587555918,6421.05080345134,1375.7333427852,658.892093374196,2092.5745921962,15420030.6
"Ethiopia",4535.08309786228,0,9649.56809055367,1477.95118814262,0,3144.72531522508,3702692
"India",41266.1747727283,17452.8851857904,65079.4643596662,13448.3516000409,5687.77061858346,21208.9325814984,23941303.6
"Indonesia",11734.5019778278,6402.07569715527,17066.9282585004,3824.19037670281,2086.39074059078,5561.99001281485,4713825.4
"Kenya",2094.563687191,0,4729.42504913471,682.603344486353,0,1541.28584190551,1555955
"Lesotho",143.507601675704,0,322.883421390448,46.7681023318143,0,105.225400720994,54362.6
"Liberia",335.361134499312,0,745.331135591608,109.291798296651,0,242.898093295479,169917.6
"Mozambique",3180.11239603345,0,7250.92644442397,1036.37591477876,0,2363.02513590603,1206776.2
"Namibia",193.299491856263,0,424.828024636964,62.9949236852999,0,138.448418743296,70209.8
"Nigeria",12971.62946386,0,28141.0627885945,4227.36138777581,0,9170.9713552116,7916492.8
"Pakistan",9860.96906213975,0,20619.3191633889,3213.61938185805,0,6719.68883449729,6030381.8
"Papua New Guinea",973.002254364986,238.117641524838,1707.88686720513,317.094484681446,77.6008385326481,556.588130830245,242856.4
"Philippines",5903.78529830049,0,14663.5122729716,1924.00145882114,0,4778.73391038807,2216506.4
"Sierra Leone",592.679702414793,0,1313.03313985759,193.150081590535,0,427.908121471448,260712.2
"South Africa",3569.97876756312,0,7876.6849021993,1163.43058050048,0,2566.95534759174,1159679.2
"Thailand",411.412438016086,108.308338531297,714.516537500875,134.076374889171,35.2969138963602,232.855835881981,667882
"Zambia",1175.85839310269,0,2621.91906485379,383.203851323645,0,854.46469524253,690859.8
"Zimbabwe",637.556446223999,0,1331.77367502428,207.775091849785,0,434.015528021306,428810.6
"Total",113379.094872044,26595.7532203745,210869.172398746,36949.4371681216,8667.36600485417,68720.757076377,77950302.4
